,sex,age,race,c_charge_degree,priors_count,is_recid
0,Male,69,Other,F,0,pos
1,Male,34,African-American,F,0,neg
2,Male,24,African-American,F,4,neg
3,Male,23,African-American,F,1,pos
4,Male,43,Other,F,2,pos
5,Male,44,Other,M,0,pos
6,Male,41,Caucasian,F,14,neg
7,Male,43,Other,F,3,pos
8,Female,39,Caucasian,M,0,pos
9,Male,21,Caucasian,F,1,neg
10,Male,27,Caucasian,F,0,pos
11,Male,23,African-American,M,3,neg
12,Female,37,Caucasian,M,0,pos
13,Male,41,African-American,F,0,pos
14,Female,47,Caucasian,F,1,neg
15,Male,31,African-American,F,7,neg
16,Male,37,Hispanic,M,0,pos
17,Male,25,African-American,F,3,pos
18,Male,31,Caucasian,F,6,neg
19,Male,31,Caucasian,F,5,neg
20,Male,64,African-American,F,13,neg
21,Male,21,African-American,F,1,neg
22,Male,27,Caucasian,M,0,neg
23,Female,21,Caucasian,F,0,pos
24,Male,24,Hispanic,F,1,neg
25,Male,43,Caucasian,M,1,pos
26,Male,32,Other,M,0,pos
27,Male,27,African-American,F,8,neg
28,Female,36,Caucasian,F,3,pos
29,Male,26,African-American,F,5,neg
30,Male,33,African-American,F,0,neg
31,Male,30,Caucasian,F,9,neg
32,Male,32,African-American,F,4,neg
33,Male,55,Caucasian,F,0,pos
34,Male,49,Other,F,7,neg
35,Male,26,Caucasian,M,6,pos
36,Female,33,Caucasian,M,4,neg
37,Male,24,Caucasian,M,1,neg
38,Male,34,African-American,F,21,neg
39,Male,29,Caucasian,M,0,pos
40,Female,21,African-American,F,2,pos
41,Male,51,African-American,M,2,pos
42,Male,29,Caucasian,M,2,neg
43,Female,51,African-American,F,7,pos
44,Male,29,African-American,F,0,neg
45,Male,25,Caucasian,M,9,neg
46,Male,35,African-American,F,13,neg
47,Male,49,Caucasian,M,0,pos
48,Male,34,African-American,M,4,neg
49,Male,29,African-American,F,0,pos
50,Male,29,Caucasian,F,1,neg
51,Female,28,Other,F,0,pos
52,Male,48,Caucasian,F,20,neg
53,Female,63,Hispanic,F,1,pos
54,Male,31,African-American,F,15,neg
55,Male,24,African-American,F,2,neg
56,Male,30,Hispanic,M,0,pos
57,Male,49,African-American,M,4,pos
58,Male,53,Caucasian,F,8,pos
59,Male,35,African-American,F,5,pos
60,Male,63,African-American,M,10,neg
61,Male,27,African-American,F,15,neg
62,Male,38,Caucasian,M,4,neg
63,Male,22,African-American,F,1,neg
64,Male,22,African-American,F,2,neg
65,Male,29,African-American,F,4,neg
66,Male,62,Hispanic,M,0,pos
67,Male,27,African-American,F,6,neg
68,Male,33,Other,M,0,pos
69,Female,56,African-American,M,0,pos
70,Male,45,Hispanic,F,6,neg
71,Male,22,Hispanic,F,1,pos
72,Male,39,African-American,M,1,pos
73,Male,29,African-American,F,5,neg
74,Male,27,Caucasian,F,1,neg
75,Male,40,African-American,F,2,pos
76,Male,22,African-American,M,1,neg
77,Male,22,Caucasian,F,0,pos
78,Female,26,African-American,F,1,neg
79,Male,27,Caucasian,F,1,neg
80,Male,32,African-American,F,0,pos
81,Male,41,African-American,M,1,pos
82,Male,30,African-American,M,8,neg
83,Male,50,Other,F,0,neg
84,Male,25,African-American,F,14,neg
85,Male,20,Other,F,0,neg
86,Male,22,African-American,F,2,neg
87,Male,23,African-American,M,2,neg
88,Female,35,African-American,M,1,pos
89,Male,36,African-American,F,9,neg
90,Male,26,Caucasian,F,7,neg
91,Male,21,Other,F,1,neg
92,Male,25,Caucasian,F,9,neg
93,Male,71,African-American,M,12,pos
94,Female,20,Caucasian,F,0,pos
95,Male,39,Caucasian,F,2,neg
96,Male,66,Caucasian,F,3,pos
97,Female,54,Caucasian,M,0,pos
98,Female,44,Hispanic,M,0,pos
99,Male,19,African-American,M,1,neg
100,Male,24,African-American,F,1,pos
101,Male,30,African-American,F,1,pos
102,Female,39,Caucasian,F,0,neg
103,Male,24,Caucasian,F,8,neg
104,Male,30,Caucasian,F,0,pos
105,Male,31,Caucasian,M,0,pos
106,Female,39,Caucasian,F,1,pos
107,Male,59,African-American,F,14,neg
108,Male,43,Caucasian,F,1,pos
109,Male,21,African-American,F,3,neg
110,Male,38,Caucasian,M,5,neg
111,Male,34,Caucasian,F,0,pos
112,Male,33,African-American,F,5,neg
113,Male,37,African-American,F,3,pos
